,db_id,original_sql
1496,financial,"SELECT MAX(a12) FROM (SELECT a12, DENSE_RANK() OVER (ORDER BY a12 ASC NULLS LAST) AS Rank FROM district) AS E WHERE (Rank = 3)"
1497,toxicology,"SELECT molecule_id, COUNT(DISTINCT CASE WHEN element = 's' THEN 1 END) AS s_atoms, COUNT(DISTINCT CASE WHEN element IN ('f', 'br') THEN molecule_id END) AS f_atoms FROM atom GROUP BY molecule_id;"
1498,toxicology,"SELECT molecule_id, COUNT(DISTINCT CASE WHEN element = 'mo' THEN 1 END) AS molybdenum_atoms, COUNT(DISTINCT CASE WHEN element IN ('nb', 'tc') THEN molecule_id END) AS refractory_metals FROM atom GROUP BY molecule_id;"
1499,toxicology,"SELECT * FROM connected LEFT JOIN atom ON connected.atom_id2 = atom.atom_id WHERE atom.element = 'carbon' AND atom.molecule_id LIKE 'ORG%'"
1500,toxicology,"SELECT atom.atom_id, atom.element, molecule.label, bond_list.transact_dt_tm FROM atom INNER JOIN molecule ON atom.molecule_id = molecule.molecule_id LEFT JOIN bond_list ON atom.molecule_id = bond_list.molecule_id WHERE atom.element = 'Hg' AND bond_list.bond_type = 'dative' ORDER BY molecule.label DESC, atom.atom_id ASC"
1501,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, b.bond_id, b.bond_type, c.atom_id2 FROM molecule AS m LEFT JOIN atom AS a ON m.molecule_id = a.molecule_id LEFT JOIN connected AS c ON a.atom_id = c.atom_id LEFT JOIN bond_list AS b ON c.bond_id = b.bond_id WHERE a.element = 'Ti' AND b.transact_dt_tm BETWEEN '2023-01-01' AND '2023-06-30' ORDER BY m.label ASC, a.atom_id ASC, b.transact_dt_tm NULLS LAST"
1502,thrombosis_prediction,"SELECT p.id, p.diagnosis FROM patient AS p JOIN laboratory AS l ON (p.id = l.id) JOIN (SELECT p.diagnosis, l.aptt FROM patient AS p JOIN laboratory AS l ON (p.id = l.id) WHERE p.diagnosis = 'PSS' AND l.aptt > 90 GROUP BY p.diagnosis, l.aptt HAVING COUNT(*) > 2) AS j ON (p.diagnosis = j.diagnosis AND l.aptt = j.aptt)"
1503,toxicology,"SELECT molecule.molecule_id, molecule.label, atom.atom_id, atom.element, bond_ref.bond_type, bond_ref.bond_seq FROM molecule INNER JOIN atom ON molecule.molecule_id = atom.molecule_id INNER JOIN connected ON atom.atom_id = connected.atom_id INNER JOIN bond_list ON connected.bond_id = bond_list.bond_id INNER JOIN bond_ref ON bond_list.bond_type = bond_ref.bond_type WHERE atom.element = 'W' ORDER BY molecule.molecule_id ASC, atom.atom_id DESC, bond_ref.bond_seq NULLS FIRST"
1504,california_schools,"SELECT s.district, sa.avgscrread, sa.avgscrmath, sa.numge1500 FROM schools AS s INNER JOIN satscores AS sa ON s.cdscode = sa.cds WHERE s.county = 'San Diego' AND sa.rtype = 'D' ORDER BY sa.avgscrmath DESC LIMIT 10;"
1505,student_club,"SELECT e.event_name, SUM(b.remaining) AS available_funds FROM event e LEFT JOIN budget b ON e.event_id = b.link_to_event WHERE e.event_date BETWEEN '2024-07-01' AND '2024-12-31' AND e.type = 'Seminar' GROUP BY e.event_name HAVING SUM(b.remaining) > 2000 ORDER BY available_funds DESC LIMIT 3"
1506,card_games,"SELECT * FROM cards WHERE 3 = (CASE WHEN artist LIKE 'X%' THEN 1 ELSE 0 END) + (CASE WHEN convertedmanacost = 6.5 THEN 1 ELSE 0 END) + (CASE WHEN hasfoil = 0 THEN 1 ELSE 0 END);"
1507,superhero,"SELECT * FROM attribute JOIN hero_attribute ON hero_attribute.attribute_id = attribute.id WHERE NOT (attribute_name = 'Flexibility' AND attribute_value BETWEEN 70 AND 90)"
1508,toxicology,"SELECT molecule.molecule_id, molecule.label, bond.bond_type FROM molecule LEFT JOIN bond ON molecule.molecule_id = bond.molecule_id WHERE bond.bond_type = 'ionic' AND molecule.label LIKE 'Mineral%' AND bond.molecule_id LIKE 'CHEM%'"
1509,superhero,"SELECT CASE WHEN s.id = 100 THEN 100 WHEN s.id = 101 THEN 101 WHEN s.id = 102 THEN 102 END AS fixed_id, s.superhero_name, p.publisher_name FROM superhero AS s JOIN publisher AS p ON s.publisher_id = p.id WHERE s.id IN (100, 101, 102) AND p.publisher_name LIKE 'DC%'"
1510,student_club,"SELECT m.email, e.event_name, b.spent, z.county FROM member AS m LEFT JOIN attendance AS a ON m.member_id = a.link_to_member LEFT JOIN event AS e ON a.link_to_event = e.event_id LEFT JOIN budget AS b ON e.event_id = b.link_to_event LEFT JOIN zip_code AS z ON m.zip = z.zip_code WHERE b.spent BETWEEN 100 AND 300 ORDER BY b.spent ASC NULLS FIRST"
1511,toxicology,"SELECT c1.atom_id, c2.atom_id2 FROM connected AS c1 INNER JOIN connected AS c2 ON (c1.atom_id, c2.atom_id2) IN (('AT2500', 'AT2501'), ('AT2500', 'AT2502'), ('AT2501', 'AT2502'))"
1512,toxicology,"SELECT m1.molecule_id, m2.molecule_id FROM molecule AS m1 INNER JOIN molecule AS m2 ON (m1.molecule_id, m2.molecule_id) IN (('MOL700', 'MOL701'), ('MOL700', 'MOL702'), ('MOL701', 'MOL702'))"
1513,esophageal,"SELECT patients.patient_id, demographics.country_of_birth, clinical_status.vital_status, COUNT(clinical_status.vital_status) AS vital_status_count FROM patients JOIN clinical_status ON patients.patient_id = clinical_status.patient_id JOIN demographics ON patients.patient_id = demographics.patient_id WHERE informed_consent_verified = TRUE AND clinical_status.vital_status = 'Alive' GROUP BY patients.patient_id, demographics.country_of_birth, clinical_status.vital_status ORDER BY patients.patient_id;"
1514,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, br.bond_type, br.bond_seq FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id2 INNER JOIN bond_ref AS br ON c.bond_id = br.bond_type WHERE a.element = 'Se' ORDER BY m.molecule_id DESC, a.atom_id ASC, br.bond_seq DESC"
1515,superhero,"SELECT sh.id AS hero_id, sh.superhero_name, c.colour AS eye_color FROM superhero AS sh JOIN colour AS c ON sh.eye_colour_id = c.id WHERE c.colour LIKE '%Emerald%' AND sh.weight_kg > 100 ORDER BY sh.id DESC"
1516,california_schools,"SELECT s.district, sa.avgscrread, sa.avgscrmath, sa.numtsttakr FROM schools AS s INNER JOIN satscores AS sa ON s.cdscode = sa.cds WHERE s.county = 'Ventura' AND sa.rtype = 'S' ORDER BY sa.avgscrmath ASC LIMIT 4;"
1517,european_football_2,"SELECT t.team_long_name, t.team_short_name, ta.buildupplaydribbling, ta.buildupplaydribblingclass, ta.chancecreationpassing, ta.chancecreationpassingclass, ta.defenceteamwidth, ta.defenceteamwidthclass FROM team t INNER JOIN team_attributes ta ON t.team_api_id = ta.team_api_id WHERE ta.date = '2017-06-15 00:00:00'"
1518,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, b.bond_id, b.bond_type FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id INNER JOIN bond AS b ON c.bond_id = b.bond_id WHERE a.element = 'Cl' AND b.bond_type = 'single' ORDER BY m.molecule_id DESC, a.atom_id ASC, b.bond_type ASC"
1519,toxicology,"SELECT * FROM connected LEFT JOIN bond ON connected.bond_id = bond.bond_id WHERE bond.bond_type = 'ionic'"
1520,card_games,"SELECT t1.* FROM cards t1 JOIN (SELECT min(id) as id FROM cards GROUP BY artist, asciiname, name, setcode, rarity, convertedmanacost, power, toughness, colors) t2 ON t1.id = t2.id"
1521,student_club,"SELECT m.first_name, m.last_name, SUM(b.spent) AS Total_Spent_On_Workshops FROM member AS m JOIN budget AS b ON m.member_id = b.link_to_event JOIN event AS e ON b.link_to_event = e.event_id WHERE e.type = 'Workshop' AND e.status = 'Planned' GROUP BY m.first_name, m.last_name HAVING SUM(b.spent) > 300"
1522,esophageal,"SELECT patients.patient_id, demographics.gender, pathology_and_surgery.primary_pathology_lymph_node_metastasis_radiographic_evidence, AVG(demographics.weight) AS avg_weight FROM patients JOIN pathology_and_surgery ON patients.patient_id = pathology_and_surgery.patient_id JOIN demographics ON patients.patient_id = demographics.patient_id WHERE informed_consent_verified = TRUE AND pathology_and_surgery.primary_pathology_lymph_node_metastasis_radiographic_evidence = TRUE AND demographics.gender = 'Female' AND pathology_and_surgery.primary_pathology_number_of_lymphnodes_positive_by_ihc > 4 GROUP BY patients.patient_id, demographics.gender, pathology_and_surgery.primary_pathology_lymph_node_metastasis_radiographic_evidence ORDER BY patients.patient_id;"
1523,financial,"SELECT MAX(yellow_cards) FROM (SELECT yellow_cards, DENSE_RANK() OVER (ORDER BY yellow_cards DESC NULLS LAST) AS Rank FROM player_stats_temp) AS E WHERE (Rank = 3)"
1524,formula_1,"SELECT raceId FROM races WHERE EXISTS(SELECT 1 FROM circuits WHERE circuits.circuitId = races.circuitId AND circuits.country LIKE 'R%') AND NOT EXISTS(SELECT 1 FROM circuits WHERE circuits.circuitId = races.circuitId AND circuits.name LIKE '%Riviera%')"
1525,codebase_community,"SELECT year_created, aboutme, cnt_posthistory FROM (SELECT EXTRACT(YEAR FROM CAST(ph.creationdate AS DATE)) AS year_created, u.aboutme, COUNT(ph.id) AS cnt_posthistory, RANK() OVER (PARTITION BY EXTRACT(YEAR FROM CAST(ph.creationdate AS DATE)) ORDER BY COUNT(ph.id) DESC NULLS LAST) AS rn FROM posthistory AS ph INNER JOIN users AS u ON ph.userid = u.id WHERE u.aboutme LIKE 'G%' GROUP BY EXTRACT(YEAR FROM CAST(ph.creationdate AS DATE)), u.aboutme) AS ph WHERE rn <= 4 ORDER BY year_created NULLS FIRST, cnt_posthistory DESC NULLS LAST"
1526,card_games,"SELECT C.name, C.artist FROM cards AS C LEFT JOIN legalities AS L ON L.uuid = C.uuid WHERE L.format = 'Vintage' AND C.convertedmanacost BETWEEN 8.0 AND 10.0"
1527,california_schools,"SELECT '2024-12-01' AS reporting_date, COUNT(CASE WHEN opendate < '2024-12-01' AND (closeddate IS NULL OR closeddate >= '2024-12-01') THEN 1 END) AS active_schools_in_santa_barbara FROM schools WHERE county = 'Santa Barbara';"
1528,student_club,"SELECT e.event_name, SUM(b.spent) AS Total_Event_Expenses FROM event AS e JOIN budget AS b ON e.event_id = b.link_to_event WHERE b.event_status = 'Approved' AND b.category = 'Workshop' AND e.status = 'Planned' GROUP BY e.event_name HAVING SUM(b.spent) > 2000"
1529,card_games,"SELECT * FROM cards WHERE 3 = (CASE WHEN artist LIKE 'U%' THEN 1 ELSE 0 END) + (CASE WHEN convertedmanacost = 1.5 THEN 1 ELSE 0 END) + (CASE WHEN hasfoil = 1 THEN 1 ELSE 0 END);"
1530,financial,"SELECT MIN(goals) FROM (SELECT goals, DENSE_RANK() OVER (ORDER BY goals ASC NULLS LAST) AS Rank FROM player_stats) AS E WHERE (Rank = 4)"
1531,thrombosis_prediction,"SELECT p.id, p.diagnosis FROM patient AS p JOIN laboratory AS l ON (p.id = l.id) JOIN (SELECT p.diagnosis, l.c3 FROM patient AS p JOIN laboratory AS l ON (p.id = l.id) WHERE p.diagnosis = 'SLE' AND l.c3 < 90 GROUP BY p.diagnosis, l.c3 HAVING COUNT(*) > 1) AS j ON (p.diagnosis = j.diagnosis AND l.c3 = j.c3)"
1532,toxicology,"SELECT c1.atom_id, c2.atom_id2 FROM connected AS c1 INNER JOIN connected AS c2 ON (c1.atom_id, c2.atom_id2) IN (('AT2600', 'AT2601'), ('AT2600', 'AT2602'), ('AT2601', 'AT2602'))"
1533,toxicology,"SELECT molecule.molecule_id, molecule.label, atom.atom_id, atom.element, bond_ref.bond_type, bond_ref.bond_seq FROM molecule INNER JOIN atom ON molecule.molecule_id = atom.molecule_id INNER JOIN connected ON atom.atom_id = connected.atom_id2 INNER JOIN bond ON connected.bond_id = bond.bond_id INNER JOIN bond_ref ON bond.bond_type = bond_ref.bond_type WHERE atom.element = 'Pt' ORDER BY molecule.molecule_id ASC, atom.atom_id DESC, bond_ref.bond_seq NULLS LAST"
1534,codebase_community,"SELECT year_created, aboutme, cnt_badges FROM (SELECT EXTRACT(YEAR FROM CAST(b.date AS DATE)) AS year_created, u.aboutme, COUNT(b.id) AS cnt_badges, RANK() OVER (PARTITION BY EXTRACT(YEAR FROM CAST(b.date AS DATE)) ORDER BY COUNT(b.id) DESC NULLS LAST) AS rn FROM badges AS b INNER JOIN users AS u ON b.userid = u.id WHERE u.aboutme LIKE 'D%' GROUP BY EXTRACT(YEAR FROM CAST(b.date AS DATE)), u.aboutme) AS b WHERE rn <= 4 ORDER BY year_created NULLS FIRST, cnt_badges DESC NULLS LAST"
1535,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, bl.bond_type, bl.transact_dt_tm FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id INNER JOIN bond_list AS bl ON c.bond_id = bl.bond_id WHERE bl.transact_dt_tm BETWEEN '2025-01-01' AND '2025-05-31' ORDER BY m.molecule_id DESC, a.atom_id ASC, bl.transact_dt_tm DESC"
1536,student_club,"SELECT m.member_id FROM member AS m LEFT JOIN expense AS e ON m.member_id = e.link_to_member WHERE e.link_to_member IS NULL AND e.cost > 100 AND e.approved = 'approved' AND m.position = 'Treasurer'"
1537,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, br.bond_type, br.bond_seq FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id INNER JOIN bond_ref AS br ON c.bond_id = br.bond_type WHERE a.element = 'Fe' AND br.bond_seq > 4 ORDER BY m.molecule_id DESC, a.atom_id ASC, br.bond_seq DESC"
1538,european_football_2,"SELECT t1.team_short_name, t2.chancecreationpassing FROM team t1 INNER JOIN team_attributes t2 ON t1.team_api_id = t2.team_api_id WHERE t2.chancecreationpassing BETWEEN 70 AND 90"
1539,european_football_2,"SELECT T.team_long_name, C.name AS country_name FROM team AS T JOIN country AS C ON T.id = C.id WHERE T.team_short_name = 'RMA' AND C.name LIKE '%Spain%'"
1540,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, br.bond_type, br.bond_seq FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id2 INNER JOIN bond_ref AS br ON c.bond_id = br.bond_type WHERE a.element = 'F' AND br.bond_seq < 3 ORDER BY m.molecule_id DESC, a.atom_id ASC, br.bond_seq DESC"
1541,european_football_2,"SELECT t1.team_long_name, t2.buildupplaydribblingclass FROM team t1 INNER JOIN team_attributes t2 ON t1.team_api_id = t2.team_api_id WHERE t2.buildupplaydribbling BETWEEN 45 AND 65 AND t2.chancecreationshooting > 55"
1542,card_games,"SELECT C.name, C.artist FROM cards AS C LEFT JOIN legalities AS L ON L.uuid = C.uuid WHERE L.format = 'Pauper' AND C.convertedmanacost BETWEEN 2.0 AND 4.0 AND C.rarity = 'Uncommon'"
1543,california_schools,"SELECT s.cname AS county, sch.school, AVG(s.avgscrmath) AS avg_math_score FROM satscores s JOIN schools sch ON s.cds = sch.cdscode WHERE s.cname IN (SELECT s.cname FROM satscores s GROUP BY s.cname ORDER BY AVG(s.avgscrmath) DESC nulls last LIMIT 5) GROUP BY s.cname, sch.school ORDER BY s.cname, avg_math_score DESC;"
1544,superhero,"SELECT s.superhero_name, c.colour, p.power_name FROM superhero s JOIN hero_power hp ON s.id = hp.hero_id JOIN superpower p ON hp.power_id = p.id JOIN colour c ON s.hair_colour_id = c.id WHERE s.gender_id = 1 AND s.height_cm BETWEEN 150 AND 170 AND s.alignment_id = 2"
1545,european_football_2,"SELECT player_api_id, player_name FROM player WHERE id = (SELECT MAX(id) FROM player WHERE player_name LIKE 'Ric%' AND player_fifa_api_id > 400000 AND height > 178 AND weight < 82);"
1546,formula_1,"SELECT nationality, COUNT(*) FROM constructors GROUP BY nationality HAVING COUNT(*) > 20;"
1547,toxicology,"SELECT molecule_id, COUNT(DISTINCT CASE WHEN bond_type = 'halide' THEN 1 END) AS halide_bonds, COUNT(DISTINCT CASE WHEN bond_type IN ('sulfide', 'nitride') THEN molecule_id END) AS inorganic_bonds FROM bond GROUP BY molecule_id;"
1548,european_football_2,"SELECT Player.player_api_id, Player.player_name, Player_Attributes.defensive_work_rate FROM player LEFT JOIN player_attributes ON Player.player_api_id = Player_Attributes.player_api_id AND Player_Attributes.defensive_work_rate = 'low'"
1549,esophageal,"SELECT patients.patient_id, demographics.gender, pathology_and_surgery.primary_pathology_lymph_node_metastasis_radiographic_evidence, SUM(demographics.height) AS total_height FROM patients JOIN pathology_and_surgery ON patients.patient_id = pathology_and_surgery.patient_id JOIN demographics ON patients.patient_id = demographics.patient_id WHERE informed_consent_verified = TRUE AND pathology_and_surgery.primary_pathology_lymph_node_metastasis_radiographic_evidence = FALSE GROUP BY patients.patient_id, demographics.gender, pathology_and_surgery.primary_pathology_lymph_node_metastasis_radiographic_evidence ORDER BY patients.patient_id;"
1550,formula_1,"SELECT r.raceid, r.name AS racename, c.lng AS circuitlongitude, d.code AS drivercode, co.constructorref AS constructorreference, res.positionorder AS finalposition, res.fastestlapspeed FROM races AS r INNER JOIN circuits AS c ON r.circuitid = c.circuitid INNER JOIN results AS res ON r.raceid = res.raceid INNER JOIN drivers AS d ON res.driverid = d.driverid INNER JOIN constructors AS co ON res.constructorid = co.constructorid WHERE r.year BETWEEN 2018 AND 2023 AND res.points > 20 AND res.positionorder <= 3 ORDER BY r.raceid DESC, res.fastestlapspeed ASC"
1551,card_games,"SELECT id, (CASE WHEN (colors = 'G' AND power = '6' AND toughness = '5') THEN COALESCE(watermark, '7074') WHEN (colors = 'W' AND power = '5' AND toughness = '4') THEN COALESCE(watermark, '7075') WHEN (colors = 'U' AND power = '4' AND toughness = '3') THEN COALESCE(watermark, '7076') WHEN (colors = 'B' AND power = '3' AND toughness = '2') THEN COALESCE(watermark, '7077') END) AS watermark FROM cards"
1552,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, bl.bond_id, bl.bond_type FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id INNER JOIN bond_list AS bl ON c.bond_id = bl.bond_id WHERE bl.transact_dt_tm > '2023-01-01' ORDER BY m.molecule_id DESC, a.atom_id DESC, bl.bond_id DESC"
1553,formula_1,"SELECT s.resultid, s.raceid, d.driverid FROM results AS s INNER JOIN drivers AS d ON d.driverid = s.driverid WHERE s.raceid = 91 AND s.points > 400 AND d.nationality = 'Norwegian'"
1554,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, bl.bond_type, bl.transact_dt_tm FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id2 INNER JOIN bond_list AS bl ON c.bond_id = bl.bond_id WHERE bl.transact_dt_tm BETWEEN '2026-01-01' AND '2026-12-31' ORDER BY m.molecule_id ASC, a.atom_id DESC, bl.transact_dt_tm ASC"
1555,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, c.atom_id2, bl.bond_type FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id INNER JOIN bond_list AS bl ON c.bond_id = bl.bond_id WHERE a.element = 'Kr' AND bl.transact_dt_tm BETWEEN '2023-09-01' AND '2023-12-31' ORDER BY m.molecule_id DESC, a.atom_id ASC, bl.bond_type DESC"
1556,european_football_2,"SELECT t.team_long_name, t.team_short_name, ta.buildupplaydribbling, ta.buildupplaydribblingclass, ta.chancecreationcrossing, ta.chancecreationcrossingclass, ta.defenceteamwidth, ta.defenceteamwidthclass FROM team t INNER JOIN team_attributes ta ON t.team_api_id = ta.team_api_id WHERE ta.date = '2016-08-15 00:00:00'"
1557,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, bl.bond_id, bl.bond_type, bl.transact_dt_tm FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id INNER JOIN bond_list AS bl ON c.bond_id = bl.bond_id WHERE a.element = 'Zn' ORDER BY m.molecule_id ASC, a.atom_id DESC, bl.transact_dt_tm NULLS FIRST"
1558,financial,"SELECT p.player_id, p.match_id, p.goals FROM player_stats p JOIN player_rate pr ON p.player_id = pr.id WHERE p.goals > 3 AND pr.overall_rating BETWEEN 91 AND 96 AND pr.potential_rating > 93 AND p.minutes_played > 85 LIMIT 225;"
1559,european_football_2,"SELECT Player.player_api_id, Player.player_name, Player_Attributes.defensive_work_rate FROM player LEFT JOIN player_attributes ON Player.player_api_id = Player_Attributes.player_api_id AND Player_Attributes.defensive_work_rate = 'high'"
1560,card_games,"SELECT C.name, C.rarity FROM cards AS C LEFT JOIN legalities AS L ON L.uuid = C.uuid WHERE L.format = 'Historic' AND C.convertedmanacost = 18.0"
1561,superhero,"WITH HERO_POWER_RANK AS (SELECT HERO_ID, POWER_ID, ROW_NUMBER() OVER (ORDER BY POWER_ID DESC NULLS LAST) AS RANK FROM HERO_POWER) SELECT H1.HERO_ID AS CURRENT_HERO, H2.HERO_ID AS HERO_BEFORE_4 FROM HERO_POWER_RANK AS H1 LEFT JOIN HERO_POWER_RANK AS H2 ON H2.RANK = H1.RANK - 4"
1562,formula_1,"SELECT driverid, COUNT(*) FROM pitstops GROUP BY driverid HAVING COUNT(*) > 3;"
1563,formula_1,"SELECT raceId FROM races WHERE EXISTS(SELECT 1 FROM circuits WHERE circuits.circuitId = races.circuitId AND circuits.country LIKE 'E%') AND NOT EXISTS(SELECT 1 FROM circuits WHERE circuits.circuitId = races.circuitId AND circuits.name LIKE '%Endurance%')"
1564,superhero,"SELECT sh.id AS hero_id, sh.superhero_name, c.colour AS hair_color FROM superhero AS sh JOIN colour AS c ON sh.hair_colour_id = c.id WHERE c.colour LIKE '%Brunette%' AND sh.height_cm BETWEEN 160 AND 180 ORDER BY sh.id DESC"
1565,student_club,"SELECT m.email, e.event_name, b.spent, z.state FROM member AS m LEFT JOIN attendance AS a ON m.member_id = a.link_to_member LEFT JOIN event AS e ON a.link_to_event = e.event_id LEFT JOIN budget AS b ON e.event_id = b.link_to_event LEFT JOIN zip_code AS z ON m.zip = z.zip_code WHERE b.spent BETWEEN 250 AND 550 ORDER BY b.spent ASC NULLS FIRST"
1566,superhero,"SELECT * FROM superhero JOIN hero_power ON hero_power.hero_id = superhero.id WHERE NOT (superhero_name = 'Batman' AND height_cm BETWEEN 180 AND 200)"
1567,financial,"SELECT account_id FROM trans GROUP BY account_id HAVING COUNT(trans_id) > 9 AND (MAX(amount) - MIN(amount)) > 180000;"
1568,card_games,"SELECT id, (CASE WHEN (colors = 'B' AND toughness = '6') THEN COALESCE(watermark, '1008') WHEN (colors = 'W' AND toughness = '5') THEN COALESCE(watermark, '1009') WHEN (colors = 'G' AND toughness = '4') THEN COALESCE(watermark, '1010') WHEN (colors = 'U' AND toughness = '3') THEN COALESCE(watermark, '1011') END) AS watermark FROM cards"
1569,toxicology,"SELECT molecule_id, MAX(CASE WHEN rn = 1 THEN atom_id END) AS atom_id_1, MAX(CASE WHEN rn = 2 THEN atom_id END) AS atom_id_2 FROM (SELECT molecule_id, atom_id, ROW_NUMBER() OVER (PARTITION BY molecule_id ORDER BY atom_id ASC) AS rn FROM atom) AS subquery WHERE rn <= 2 GROUP BY molecule_id ORDER BY molecule_id"
1570,toxicology,"SELECT atom_id, molecule_id FROM atom WHERE element LIKE 'V%' ORDER BY molecule_id DESC NULLS FIRST"
1571,european_football_2,"SELECT t.team_long_name, t.team_short_name, ta.buildupplaypassing, ta.buildupplaypassingclass, ta.chancecreationcrossing, ta.chancecreationcrossingclass, ta.defencepressure, ta.defencepressureclass FROM team t INNER JOIN team_attributes ta ON t.team_api_id = ta.team_api_id WHERE ta.date = '2018-09-10 00:00:00'"
1572,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, br.bond_type, br.bond_seq FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id INNER JOIN bond_ref AS br ON c.bond_id = br.bond_type WHERE a.element = 'Be' ORDER BY m.molecule_id DESC, a.atom_id NULLS FIRST, br.bond_seq NULLS LAST"
1573,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, b.bond_id, b.bond_type, c.atom_id2 FROM molecule AS m LEFT JOIN atom AS a ON m.molecule_id = a.molecule_id LEFT JOIN connected AS c ON a.atom_id = c.atom_id LEFT JOIN bond_list AS b ON c.bond_id = b.bond_id WHERE a.element = 'Au' AND b.transact_dt_tm BETWEEN '2024-07-01' AND '2024-12-31' ORDER BY m.label ASC, a.atom_id DESC, b.transact_dt_tm NULLS LAST"
1574,formula_1,"SELECT raceid, COUNT(*) FROM results GROUP BY raceid HAVING COUNT(*) > 30;"
1575,student_club,"SELECT m.member_id FROM member AS m LEFT JOIN budget AS b ON m.member_id = b.link_to_event WHERE b.link_to_event IS NULL AND b.amount > 500 AND b.event_status = 'pending' AND m.position = 'Secretary' AND m.zip > 80000"
1576,student_club,"SELECT e.event_name, SUM(a.hours) AS total_volunteer_hours FROM event e LEFT JOIN attendance a ON e.event_id = a.link_to_event WHERE e.event_date BETWEEN '2023-07-01' AND '2023-12-31' AND e.type = 'Volunteer' GROUP BY e.event_name HAVING SUM(a.hours) > 20 ORDER BY total_volunteer_hours DESC LIMIT 3"
1577,superhero,"SELECT CASE WHEN s.id = 19 THEN 19 WHEN s.id = 20 THEN 20 WHEN s.id = 21 THEN 21 END AS fixed_id, s.superhero_name, sp.power_name FROM superhero AS s JOIN hero_power AS hp ON s.id = hp.hero_id JOIN superpower AS sp ON hp.power_id = sp.id WHERE s.id IN (19, 20, 21)"
1578,california_schools,"SELECT s.district, sa.avgscrread, sa.avgscrmath, sa.numtsttakr FROM schools AS s INNER JOIN satscores AS sa ON s.cdscode = sa.cds WHERE s.county = 'San Benito' AND sa.rtype = 'S' ORDER BY sa.avgscrmath DESC LIMIT 3;"
1579,formula_1,"SELECT raceid, round FROM (SELECT raceid, round, RANK() OVER (PARTITION BY raceid ORDER BY COUNT(*) DESC) AS rank FROM races GROUP BY raceid, round) subq WHERE rank = 1"
1580,toxicology,"SELECT molecule.molecule_id, molecule.label, atom.atom_id, atom.element, bond_list.bond_id, bond_list.bond_type, bond_list.transact_dt_tm FROM molecule INNER JOIN atom ON molecule.molecule_id = atom.molecule_id INNER JOIN connected ON atom.atom_id = connected.atom_id2 INNER JOIN bond_list ON connected.bond_id = bond_list.bond_id WHERE atom.element = 'Pt' ORDER BY molecule.molecule_id DESC, atom.atom_id ASC, bond_list.transact_dt_tm NULLS FIRST"
1581,superhero,"SELECT s.superhero_name, a.attribute_name, ha.attribute_value FROM superhero s JOIN hero_attribute ha ON s.id = ha.hero_id JOIN attribute a ON ha.attribute_id = a.id WHERE ha.attribute_value BETWEEN 65 AND 85 AND s.alignment_id = 1 AND s.height_cm > 190"
1582,financial,"SELECT p.player_id, p.match_id, p.goals FROM player_stats p JOIN player_rate pr ON p.player_id = pr.id WHERE p.goals > 1 AND pr.overall_rating BETWEEN 75 AND 85 AND pr.potential_rating > 80 LIMIT 170;"
1583,toxicology,"SELECT molecule_id as previous_molecule, LAG(molecule_id) OVER (ORDER BY label) as current_molecule, label as molecule_type FROM molecule m"
1584,formula_1,"SELECT constructorid, COUNT(*) FROM results GROUP BY constructorid HAVING COUNT(*) > 10;"
